Job Title,Company,Date,Type,Location,Skills,Job Link
Supply Chain data Analyst,Dora Management Solution,posted 4 days ago,Full Time,"Sheraton, Cairo","Logistics/Supply Chain, Analyst/Research, Sales/Retail, Supply Chain Analysis, Data Analytics, Advanced Excel, Cross-functional Collaboration, Reporting and Presentation, Inventory Management, Problem Solving",http://wuzzuf.net/jobs/p/swjo9ibpajco-supply-chain-data-analyst-dora-management-solutions-cairo-egypt
Data Analyst,Ibn Sina Pharma,posted 24 days ago,Full Time,"New Cairo, Cairo","IT/Software Development, Analyst/Research, Analysis, analytical, Commerce, BI, Communication skills, Computer Science, Data Analysis, Information Technology (IT), MS Office, Power BI, Reporting, English",http://wuzzuf.net/jobs/p/rfahe6atbsw0-data-analyst-ibn-sina-pharma-cairo-egypt
MIS / Data Analyst,GOLD ERA,posted 25 days ago,Full Time,"Abbassia, Cairo","Accounting/Finance, Analyst/Research, Sales/Retail, MIS, Data Analysis, Business Analysis, Power BI",http://wuzzuf.net/jobs/p/xiclpsglupxt-mis-data-analyst-gold-era-cairo-egypt
Data Analyst – Analytics & Knowledge Delivery,EpsilonAI,posted 25 days ago,Full Time,"Nasr City, Cairo","IT/Software Development, Analyst/Research, Data Analysis, Database SQL Server, MySQL, Data Analytics, Big Data Analytics, Microsoft Excel, Power BI, Microsoft Power BI, Tableau, Analytical Thinking, Data Visualization, SQL, Public Speaking, Instructional Design, Communication, Remote Collaboration, Cloud, Teaching, Technical Training, instructor",http://wuzzuf.net/jobs/p/d6wrnnj6ofcu-data-analyst-analytics-knowledge-delivery-epsilonai-cairo-egypt
Data Analyst,National technology grou,posted 30 days ago,Full Time,"6th of October, Giza","Analyst/Research, Analysis, SQL, Power BI, Microsoft Excel, Python",http://wuzzuf.net/jobs/p/pt8vw0hn23aw-data-analyst-national-technology-group-giza-egypt
Data Analyst,Egyptian Company for Cos,posted 1 month ago,Full Time,"Nasr City, Cairo","Analyst/Research, Analysis, Data Analysis, Microsoft Excel, Power BI, Data Mapping, Data analysis, Microsoft excel, Power bi, Data mapping, Sql, Data visualization, Statistical analysis, Data mining, Report generation, Problem solving, Critical thinking",http://wuzzuf.net/jobs/p/s1kldppidnly-data-analyst-egyptian-company-for-cosmetics-cairo-egypt
Data Analyst,MINISO LIFE,posted 1 month ago,Full Time,"Cairo, Egypt","IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Collect, organize, and analyze data from multiple sources., Prepare reports and dashboards for management., Provide insights and recommendations to improve performance and support decision-making., Collaborate with different teams to support company objectives., Bachelor’s degree in Statistics, Mathematics, Computer Science, or a related field., Experience in data analysis and using BI tools (such as Excel, Power BI, or Tableau)., Strong analytical skills with the ability to interpret data accurately., Excellent communication skills.",http://wuzzuf.net/jobs/p/aoeklax6waer-data-analyst-miniso-life-cairo-egypt
Data Analyst,Top Chef,posted 1 month ago,Full Time,"Obour City, Cairo","IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Data Analysis, Microsoft Excel, Power BI, PivotTables, Data analysis, Microsoft excel, Power bi, Pivottables, Sql, Data visualization, Statistical analysis, Data modeling, Report generation, Communication skills, Problem-solving, Critical thinking",http://wuzzuf.net/jobs/p/lhxtsptcb7r1-data-analyst-top-chef-cairo-egypt
Financial Analyst,willys kitchen-Egypt,posted 19 days ago,Full Time,"Obour City, Cairo","Accounting/Finance, Analyst/Research, Accounting, Finance, Financial, Financial Analysis, Commerce, Financial Data Analysis",http://wuzzuf.net/jobs/p/oj7bj4jchiwo-financial-analyst-willys-kitchen-egypt-cairo-egypt
Business Analyst,Ibn Sina Pharma,posted 17 days ago,Internship,"New Cairo, Cairo","IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Analysis, Business Analysis, Computer Science, Data Analysis, Information Technology (IT), Python, SQL, Communication Skills, Problem-Solving, Critical Thinking, Data Visualization, Process Improvement, Statistical Modeling, Data Mining, Requirements Gathering",http://wuzzuf.net/internship/u1p4bogldozr-business-analyst-ibn-sina-pharma-cairo-egypt
Data Analyst,Sakr Group,posted 1 month ago,Full Time,"Nasr City, Cairo","IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, SAP, Power BI, Tableau, Microsoft Office",http://wuzzuf.net/jobs/p/u4jory0gh3et-data-analyst-sakr-group-cairo-egypt
Accounting Analyst,Frutal for Food Industri,posted 22 days ago,Full Time,"Heliopolis, Cairo","Accounting/Finance, Analyst/Research, Accounting, Financial Analysis, Commerce, Finance, Budgeting, Forecasting, Variance Analysis, Financial Reporting, Manufacturing Cost Accounting, Data Analysis, Process Improvement, GAAP Compliance, Internal Controls",http://wuzzuf.net/jobs/p/nbvywszbdwea-accounting-analyst-frutal-for-food-industries-cairo-egypt
Process Analyst,RISEUP (Endemag for Admi,posted 23 days ago,Full Time,"Maadi, Cairo","Engineering - Construction/Civil/Architecture, Analyst/Research, Engineering - Mechanical/Electrical, BIM, Asana, Capital Allocation Request (CAR) database, Value Engineering (VE) database for Leadership Team Milestones (LTMs), White Papers (WPs) Budget expense tracking reports, Lessons Learnt (LL) Management, Change Request (CR) Management, BEP, - MHE model submission, Process Management, Quality Control, Project Coordination, Stakeholders, Data Analysis, Smartsheets, Project Management Tools, Dashboard Creation, Governance, Construction Engineering, Construction Management",http://wuzzuf.net/jobs/p/nj3rav1lsoe0-process-analyst-riseup-endemag-for-administrative-skills-development-cairo-egypt
Professional Methodology Analyst,APEX Pharma,posted 23 days ago,Full Time,"Badr City, Cairo","R&D/Science, Analyst/Research, Pharmaceutical, Methodology, Analysis, Science, Pharmacy, Quality Control, Process Analysis, Methodology Development, Data Analysis, Quality Assurance, Project Management, Cross-functional Collaboration, Training and Facilitation, Regulatory Compliance, Problem Solving, Documentation, Medical",http://wuzzuf.net/jobs/p/anwijk5z59um-professional-methodology-analyst-apex-pharma-cairo-egypt
Senior Investment Analyst,IGI-Group,posted 25 days ago,Full Time,"Sheikh Zayed, Giza","Accounting/Finance, Banking, Analyst/Research, Analysis, Business Analysis, Investment, Finance, Financial Accounting, Financial Data Analysis, Finance Management, Financial Reporting, Financial Services, Finance Analysis, Financial Analysis, Financial Management, CFA, Accounting, Financial",http://wuzzuf.net/jobs/p/yg1lvbhbvs2r-senior-investment-analyst-igi-group-giza-egypt
MIS Risk Analyst,Al Ahly capital holding,posted 26 days ago,Full Time,"Zamalek, Cairo","Banking, Analyst/Research, Analysis, Data Analysis, Computer Science, Banking, Risk, Management, information system, business, Risk Management",http://wuzzuf.net/jobs/p/au4yimf7xeg3-mis-risk-analyst-al-ahly-capital-holding-al-ahly-tamkeen-cairo-egypt
